"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения валидации при попытке сохранения формы без Last Name","882","checkCheckoutEmptyLastName","Surefire suite","Mon Jun 16 17:28:48 GMT 2025","passed","Mon Jun 16 17:28:49 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyLastName"
"","897","fillingFormFromParameters","Surefire suite","Mon Jun 16 17:28:54 GMT 2025","passed","Mon Jun 16 17:28:55 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения валидации при попытке сохранения формы с пустыми данными","861","checkCheckoutEmptyFields","Surefire suite","Mon Jun 16 17:28:46 GMT 2025","passed","Mon Jun 16 17:28:47 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFields"
"Проверка покупки товара с коррекными пользовательскими данными","963","checkSuccessCheckout","Surefire suite","Mon Jun 16 17:28:43 GMT 2025","passed","Mon Jun 16 17:28:44 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkSuccessCheckout"
"Проверка того, что кнопка continue возвращает пользователя на предыдущую страницу","602","checkContinueSoppingButton","Surefire suite","Mon Jun 16 17:29:00 GMT 2025","passed","Mon Jun 16 17:29:01 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueSoppingButton"
"Проверка отображения валидации при попытке сохранения формы без First Name","867","checkCheckoutEmptyFirstName","Surefire suite","Mon Jun 16 17:28:47 GMT 2025","passed","Mon Jun 16 17:28:48 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFirstName"
"Проверка отображения валидации при попытке входа в систему с пустыми полями ","385","checkLoginWithEmptyValues","Surefire suite","Mon Jun 16 17:28:57 GMT 2025","passed","Mon Jun 16 17:28:58 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValues"
"Проверка входа в систему с коррекными пользовательскими данными","414","checkLoginWithEmailOnly","Surefire suite","Mon Jun 16 17:28:57 GMT 2025","passed","Mon Jun 16 17:28:57 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmailOnly"
"Проверка отображения Cart страницы после нажатия кнопки cancel","735","checkCancelCheckout","Surefire suite","Mon Jun 16 17:28:45 GMT 2025","passed","Mon Jun 16 17:28:45 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelCheckout"
"Проврека добавления товара в корзину","667","checkProductPurchase","Surefire suite","Mon Jun 16 17:29:01 GMT 2025","passed","Mon Jun 16 17:29:02 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductPurchase"
"","884","fillingFormFromParameters","Surefire suite","Mon Jun 16 17:28:53 GMT 2025","passed","Mon Jun 16 17:28:53 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"","847","fillingFormFromParameters","Surefire suite","Mon Jun 16 17:28:55 GMT 2025","passed","Mon Jun 16 17:28:56 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения валидации при попытке сохранения формы без Postal Code","886","checkCheckoutEmptyPostalCode","Surefire suite","Mon Jun 16 17:28:50 GMT 2025","passed","Mon Jun 16 17:28:51 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyPostalCode"
"Проверка того, что товар корректно удаляется из корзины","5651","checkRemoveProduct","Surefire suite","Mon Jun 16 17:29:08 GMT 2025","passed","Mon Jun 16 17:29:14 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProduct"
"","867","fillingFormFromParameters","Surefire suite","Mon Jun 16 17:28:51 GMT 2025","passed","Mon Jun 16 17:28:52 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения валидации при попытке входа в систему с не сущесутвующим пользователем ","394","checkLoginWithInvalidCredentials","Surefire suite","Mon Jun 16 17:28:58 GMT 2025","passed","Mon Jun 16 17:28:59 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithInvalidCredentials"
"","770","checkLocator","Surefire suite","Mon Jun 16 17:28:42 GMT 2025","passed","Mon Jun 16 17:28:43 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверяет стандартное отображение страницы корзины без товаров.","5551","checkCartEmptyState","Surefire suite","Mon Jun 16 17:29:02 GMT 2025","passed","Mon Jun 16 17:29:08 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCartEmptyState"
"","465","checkSuccessLogin","Surefire suite","Mon Jun 16 17:28:59 GMT 2025","passed","Mon Jun 16 17:29:00 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
