"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет стандартное отображение страницы корзины без товаров.","1","checkCartEmptyState","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:16 UTC 2025","skipped","Thu Dec 04 14:15:16 UTC 2025","tests.CartTest","FireFox","tests.CartTest","checkCartEmptyState"
"Проверка того, что кнопка continue возвращает пользователя на предыдущую страницу","3","checkContinueSoppingButton","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:15 UTC 2025","skipped","Thu Dec 04 14:15:15 UTC 2025","tests.CartTest","FireFox","tests.CartTest","checkContinueSoppingButton"
"","977","fillingFormFromParameters","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:28 UTC 2025","passed","Thu Dec 04 14:15:29 UTC 2025","tests.CheckoutTest","Chrome","tests.CheckoutTest","fillingFormFromParameters"
"","0","Открытие браузера","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:16 UTC 2025","broken","Thu Dec 04 14:15:16 UTC 2025","tests.CartTest","FireFox","tests.CartTest","setup"
"","2","Открытие браузера","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:15 UTC 2025","broken","Thu Dec 04 14:15:15 UTC 2025","tests.LocatorTest","FireFox","tests.LocatorTest","setup"
"Проверка покупки товара с коррекными пользовательскими данными","1129","checkSuccessCheckout","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:18 UTC 2025","passed","Thu Dec 04 14:15:19 UTC 2025","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkSuccessCheckout"
"Проверка того, что товар корректно удаляется из корзины","1","checkRemoveProduct","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:16 UTC 2025","skipped","Thu Dec 04 14:15:16 UTC 2025","tests.CartTest","FireFox","tests.CartTest","checkRemoveProduct"
"Проверка отображения Cart страницы после нажатия кнопки cancel","790","checkCancelCheckout","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:19 UTC 2025","passed","Thu Dec 04 14:15:20 UTC 2025","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCancelCheckout"
"Проврека добавления товара в корзину","0","checkProductPurchase","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:16 UTC 2025","skipped","Thu Dec 04 14:15:16 UTC 2025","tests.CartTest","FireFox","tests.CartTest","checkProductPurchase"
"Проверка отображения валидации при попытке сохранения формы без First Name","946","checkCheckoutEmptyFirstName","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:22 UTC 2025","passed","Thu Dec 04 14:15:23 UTC 2025","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutEmptyFirstName"
"Проверка отображения валидации при попытке сохранения формы с пустыми данными","888","checkCheckoutEmptyFields","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:21 UTC 2025","passed","Thu Dec 04 14:15:22 UTC 2025","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutEmptyFields"
"Проверка входа в систему с коррекными пользовательскими данными","783","checkLoginWithEmailOnly","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:15 UTC 2025","passed","Thu Dec 04 14:15:16 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmailOnly"
"Проверка отображения валидации при попытке сохранения формы без Postal Code","973","checkCheckoutEmptyPostalCode","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:25 UTC 2025","passed","Thu Dec 04 14:15:26 UTC 2025","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutEmptyPostalCode"
"","961","fillingFormFromParameters","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:30 UTC 2025","passed","Thu Dec 04 14:15:31 UTC 2025","tests.CheckoutTest","Chrome","tests.CheckoutTest","fillingFormFromParameters"
"","959","fillingFormFromParameters","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:29 UTC 2025","passed","Thu Dec 04 14:15:30 UTC 2025","tests.CheckoutTest","Chrome","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения валидации при попытке входа в систему с не сущесутвующим пользователем ","431","checkLoginWithInvalidCredentials","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:16 UTC 2025","passed","Thu Dec 04 14:15:17 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithInvalidCredentials"
"","948","fillingFormFromParameters","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:26 UTC 2025","passed","Thu Dec 04 14:15:27 UTC 2025","tests.CheckoutTest","Chrome","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения валидации при попытке сохранения формы без Last Name","985","checkCheckoutEmptyLastName","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:23 UTC 2025","passed","Thu Dec 04 14:15:24 UTC 2025","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutEmptyLastName"
"","1","checkLocator","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:15 UTC 2025","skipped","Thu Dec 04 14:15:15 UTC 2025","tests.LocatorTest","FireFox","tests.LocatorTest","checkLocator"
"","524","checkSuccessLogin","SauceDemo CrossBrowser Test","Thu Dec 04 14:15:17 UTC 2025","passed","Thu Dec 04 14:15:18 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessLogin"
