"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","882","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:43:27 GMT 2025","passed","Mon Jun 16 16:43:27 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"","852","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:43:31 GMT 2025","passed","Mon Jun 16 16:43:31 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"","748","checkLocator","Surefire suite","Mon Jun 16 16:43:17 GMT 2025","passed","Mon Jun 16 16:43:18 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"","869","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:43:28 GMT 2025","passed","Mon Jun 16 16:43:29 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка входа в систему с коррекными пользовательскими данными","413","checkLoginWithEmailOnly","Surefire suite","Mon Jun 16 16:43:32 GMT 2025","passed","Mon Jun 16 16:43:32 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmailOnly"
"Проверка отображения валидации при попытке входа в систему с пустыми полями ","390","checkLoginWithEmptyValues","Surefire suite","Mon Jun 16 16:43:33 GMT 2025","passed","Mon Jun 16 16:43:33 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValues"
"Проверка того, что кнопка continue возвращает пользователя на предыдущую страницу","606","checkContinueSoppingButton","Surefire suite","Mon Jun 16 16:43:35 GMT 2025","passed","Mon Jun 16 16:43:36 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueSoppingButton"
"Проверка отображения валидации при попытке сохранения формы без Postal Code","846","checkCheckoutEmptyPostalCode","Surefire suite","Mon Jun 16 16:43:25 GMT 2025","passed","Mon Jun 16 16:43:26 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyPostalCode"
"Проверка того, что товар корректно удаляется из корзины","5633","checkRemoveProduct","Surefire suite","Mon Jun 16 16:43:44 GMT 2025","passed","Mon Jun 16 16:43:49 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProduct"
"Проверка отображения валидации при попытке сохранения формы с пустыми данными","855","checkCheckoutEmptyFields","Surefire suite","Mon Jun 16 16:43:21 GMT 2025","passed","Mon Jun 16 16:43:22 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFields"
"Проверка покупки товара с коррекными пользовательскими данными","932","checkSuccessCheckout","Surefire suite","Mon Jun 16 16:43:19 GMT 2025","passed","Mon Jun 16 16:43:20 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkSuccessCheckout"
"Проврека добавления товара в корзину","670","checkProductPurchase","Surefire suite","Mon Jun 16 16:43:36 GMT 2025","passed","Mon Jun 16 16:43:37 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductPurchase"
"Проверка отображения валидации при попытке сохранения формы без Last Name","877","checkCheckoutEmptyLastName","Surefire suite","Mon Jun 16 16:43:24 GMT 2025","passed","Mon Jun 16 16:43:25 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyLastName"
"Проверяет стандартное отображение страницы корзины без товаров.","5507","checkCartEmptyState","Surefire suite","Mon Jun 16 16:43:38 GMT 2025","passed","Mon Jun 16 16:43:43 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCartEmptyState"
"","449","checkSuccessLogin","Surefire suite","Mon Jun 16 16:43:34 GMT 2025","passed","Mon Jun 16 16:43:35 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Проверка отображения валидации при попытке сохранения формы без First Name","867","checkCheckoutEmptyFirstName","Surefire suite","Mon Jun 16 16:43:23 GMT 2025","passed","Mon Jun 16 16:43:23 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFirstName"
"Проверка отображения валидации при попытке входа в систему с не сущесутвующим пользователем ","397","checkLoginWithInvalidCredentials","Surefire suite","Mon Jun 16 16:43:34 GMT 2025","passed","Mon Jun 16 16:43:34 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithInvalidCredentials"
"","855","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:43:29 GMT 2025","passed","Mon Jun 16 16:43:30 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения Cart страницы после нажатия кнопки cancel","745","checkCancelCheckout","Surefire suite","Mon Jun 16 16:43:20 GMT 2025","passed","Mon Jun 16 16:43:21 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelCheckout"
