"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения валидации при попытке сохранения формы с пустыми данными","922","checkCheckoutEmptyFields","Surefire suite","Mon Jun 16 18:57:04 GMT 2025","passed","Mon Jun 16 18:57:05 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFields"
"Проверка того, что товар корректно удаляется из корзины","5680","checkRemoveProduct","Surefire suite","Mon Jun 16 18:57:27 GMT 2025","passed","Mon Jun 16 18:57:33 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProduct"
"Проверка входа в систему с коррекными пользовательскими данными","460","checkLoginWithEmailOnly","Surefire suite","Mon Jun 16 18:57:15 GMT 2025","passed","Mon Jun 16 18:57:15 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmailOnly"
"Проверка отображения валидации при попытке входа в систему с не сущесутвующим пользователем ","463","checkLoginWithInvalidCredentials","Surefire suite","Mon Jun 16 18:57:17 GMT 2025","passed","Mon Jun 16 18:57:17 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithInvalidCredentials"
"","509","checkSuccessLogin","Surefire suite","Mon Jun 16 18:57:18 GMT 2025","passed","Mon Jun 16 18:57:18 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","917","fillingFormFromParameters","Surefire suite","Mon Jun 16 18:57:12 GMT 2025","passed","Mon Jun 16 18:57:13 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка покупки товара с коррекными пользовательскими данными","1071","checkSuccessCheckout","Surefire suite","Mon Jun 16 18:57:01 GMT 2025","passed","Mon Jun 16 18:57:02 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkSuccessCheckout"
"Проверка отображения валидации при попытке сохранения формы без First Name","941","checkCheckoutEmptyFirstName","Surefire suite","Mon Jun 16 18:57:05 GMT 2025","passed","Mon Jun 16 18:57:06 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFirstName"
"Проверка отображения валидации при попытке сохранения формы без Last Name","936","checkCheckoutEmptyLastName","Surefire suite","Mon Jun 16 18:57:06 GMT 2025","passed","Mon Jun 16 18:57:07 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyLastName"
"","905","fillingFormFromParameters","Surefire suite","Mon Jun 16 18:57:09 GMT 2025","passed","Mon Jun 16 18:57:10 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка того, что кнопка continue возвращает пользователя на предыдущую страницу","687","checkContinueSoppingButton","Surefire suite","Mon Jun 16 18:57:19 GMT 2025","passed","Mon Jun 16 18:57:19 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueSoppingButton"
"","928","fillingFormFromParameters","Surefire suite","Mon Jun 16 18:57:13 GMT 2025","passed","Mon Jun 16 18:57:14 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверяет стандартное отображение страницы корзины без товаров.","5594","checkCartEmptyState","Surefire suite","Mon Jun 16 18:57:21 GMT 2025","passed","Mon Jun 16 18:57:27 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCartEmptyState"
"Проверка отображения валидации при попытке входа в систему с пустыми полями ","443","checkLoginWithEmptyValues","Surefire suite","Mon Jun 16 18:57:16 GMT 2025","passed","Mon Jun 16 18:57:16 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValues"
"Проверка отображения валидации при попытке сохранения формы без Postal Code","941","checkCheckoutEmptyPostalCode","Surefire suite","Mon Jun 16 18:57:08 GMT 2025","passed","Mon Jun 16 18:57:09 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyPostalCode"
"Проврека добавления товара в корзину","734","checkProductPurchase","Surefire suite","Mon Jun 16 18:57:20 GMT 2025","passed","Mon Jun 16 18:57:21 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductPurchase"
"Проверка отображения Cart страницы после нажатия кнопки cancel","808","checkCancelCheckout","Surefire suite","Mon Jun 16 18:57:02 GMT 2025","passed","Mon Jun 16 18:57:03 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelCheckout"
"","807","checkLocator","Surefire suite","Mon Jun 16 18:56:59 GMT 2025","passed","Mon Jun 16 18:57:00 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"","933","fillingFormFromParameters","Surefire suite","Mon Jun 16 18:57:11 GMT 2025","passed","Mon Jun 16 18:57:12 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
