"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","866","fillingFormFromParameters","Surefire suite","Mon Jun 16 17:25:34 GMT 2025","passed","Mon Jun 16 17:25:34 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"","442","checkSuccessLogin","Surefire suite","Mon Jun 16 17:25:40 GMT 2025","passed","Mon Jun 16 17:25:41 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","816","checkLocator","Surefire suite","Mon Jun 16 17:25:23 GMT 2025","passed","Mon Jun 16 17:25:23 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"","878","fillingFormFromParameters","Surefire suite","Mon Jun 16 17:25:36 GMT 2025","passed","Mon Jun 16 17:25:37 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"","880","fillingFormFromParameters","Surefire suite","Mon Jun 16 17:25:32 GMT 2025","passed","Mon Jun 16 17:25:33 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения валидации при попытке входа в систему с пустыми полями ","396","checkLoginWithEmptyValues","Surefire suite","Mon Jun 16 17:25:39 GMT 2025","passed","Mon Jun 16 17:25:39 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValues"
"Проверка отображения валидации при попытке сохранения формы без Last Name","891","checkCheckoutEmptyLastName","Surefire suite","Mon Jun 16 17:25:30 GMT 2025","passed","Mon Jun 16 17:25:30 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyLastName"
"Проверка входа в систему с коррекными пользовательскими данными","412","checkLoginWithEmailOnly","Surefire suite","Mon Jun 16 17:25:38 GMT 2025","passed","Mon Jun 16 17:25:38 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmailOnly"
"Проверка того, что товар корректно удаляется из корзины","7853","checkRemoveProduct","Surefire suite","Mon Jun 16 17:25:49 GMT 2025","passed","Mon Jun 16 17:25:57 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProduct"
"Проверка отображения валидации при попытке сохранения формы без First Name","890","checkCheckoutEmptyFirstName","Surefire suite","Mon Jun 16 17:25:28 GMT 2025","passed","Mon Jun 16 17:25:29 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFirstName"
"Проверка отображения валидации при попытке сохранения формы с пустыми данными","896","checkCheckoutEmptyFields","Surefire suite","Mon Jun 16 17:25:27 GMT 2025","passed","Mon Jun 16 17:25:28 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFields"
"Проверка покупки товара с коррекными пользовательскими данными","1047","checkSuccessCheckout","Surefire suite","Mon Jun 16 17:25:24 GMT 2025","passed","Mon Jun 16 17:25:25 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkSuccessCheckout"
"","888","fillingFormFromParameters","Surefire suite","Mon Jun 16 17:25:35 GMT 2025","passed","Mon Jun 16 17:25:36 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения валидации при попытке входа в систему с не сущесутвующим пользователем ","408","checkLoginWithInvalidCredentials","Surefire suite","Mon Jun 16 17:25:39 GMT 2025","passed","Mon Jun 16 17:25:40 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithInvalidCredentials"
"Проврека добавления товара в корзину","660","checkProductPurchase","Surefire suite","Mon Jun 16 17:25:42 GMT 2025","passed","Mon Jun 16 17:25:43 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductPurchase"
"Проверка отображения валидации при попытке сохранения формы без Postal Code","899","checkCheckoutEmptyPostalCode","Surefire suite","Mon Jun 16 17:25:31 GMT 2025","passed","Mon Jun 16 17:25:32 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyPostalCode"
"Проверка того, что кнопка continue возвращает пользователя на предыдущую страницу","600","checkContinueSoppingButton","Surefire suite","Mon Jun 16 17:25:41 GMT 2025","passed","Mon Jun 16 17:25:42 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueSoppingButton"
"Проверяет стандартное отображение страницы корзины без товаров.","5537","checkCartEmptyState","Surefire suite","Mon Jun 16 17:25:43 GMT 2025","passed","Mon Jun 16 17:25:49 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCartEmptyState"
"Проверка отображения Cart страницы после нажатия кнопки cancel","761","checkCancelCheckout","Surefire suite","Mon Jun 16 17:25:26 GMT 2025","passed","Mon Jun 16 17:25:26 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelCheckout"
