"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения валидации при попытке сохранения формы без First Name","883","checkCheckoutEmptyFirstName","Surefire suite","Mon Jun 16 16:53:43 GMT 2025","passed","Mon Jun 16 16:53:44 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFirstName"
"Проверка того, что товар корректно удаляется из корзины","5651","checkRemoveProduct","Surefire suite","Mon Jun 16 16:54:06 GMT 2025","passed","Mon Jun 16 16:54:11 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProduct"
"","1790","checkSuccessLogin","Surefire suite","Mon Jun 16 16:53:55 GMT 2025","passed","Mon Jun 16 16:53:57 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Проверка отображения валидации при попытке входа в систему с не сущесутвующим пользователем ","414","checkLoginWithInvalidCredentials","Surefire suite","Mon Jun 16 16:53:54 GMT 2025","passed","Mon Jun 16 16:53:55 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithInvalidCredentials"
"","861","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:53:51 GMT 2025","passed","Mon Jun 16 16:53:52 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения Cart страницы после нажатия кнопки cancel","737","checkCancelCheckout","Surefire suite","Mon Jun 16 16:53:41 GMT 2025","passed","Mon Jun 16 16:53:41 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelCheckout"
"","798","checkLocator","Surefire suite","Mon Jun 16 16:53:38 GMT 2025","passed","Mon Jun 16 16:53:39 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверяет стандартное отображение страницы корзины без товаров.","5531","checkCartEmptyState","Surefire suite","Mon Jun 16 16:54:00 GMT 2025","passed","Mon Jun 16 16:54:05 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCartEmptyState"
"Проверка того, что кнопка continue возвращает пользователя на предыдущую страницу","626","checkContinueSoppingButton","Surefire suite","Mon Jun 16 16:53:58 GMT 2025","passed","Mon Jun 16 16:53:58 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueSoppingButton"
"","860","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:53:47 GMT 2025","passed","Mon Jun 16 16:53:48 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"","870","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:53:49 GMT 2025","passed","Mon Jun 16 16:53:49 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проврека добавления товара в корзину","690","checkProductPurchase","Surefire suite","Mon Jun 16 16:53:59 GMT 2025","passed","Mon Jun 16 16:53:59 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductPurchase"
"Проверка отображения валидации при попытке сохранения формы без Postal Code","894","checkCheckoutEmptyPostalCode","Surefire suite","Mon Jun 16 16:53:46 GMT 2025","passed","Mon Jun 16 16:53:47 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyPostalCode"
"","903","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:53:50 GMT 2025","passed","Mon Jun 16 16:53:51 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения валидации при попытке входа в систему с пустыми полями ","392","checkLoginWithEmptyValues","Surefire suite","Mon Jun 16 16:53:54 GMT 2025","passed","Mon Jun 16 16:53:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValues"
"Проверка отображения валидации при попытке сохранения формы без Last Name","885","checkCheckoutEmptyLastName","Surefire suite","Mon Jun 16 16:53:45 GMT 2025","passed","Mon Jun 16 16:53:45 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyLastName"
"Проверка отображения валидации при попытке сохранения формы с пустыми данными","857","checkCheckoutEmptyFields","Surefire suite","Mon Jun 16 16:53:42 GMT 2025","passed","Mon Jun 16 16:53:43 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFields"
"Проверка входа в систему с коррекными пользовательскими данными","434","checkLoginWithEmailOnly","Surefire suite","Mon Jun 16 16:53:53 GMT 2025","passed","Mon Jun 16 16:53:53 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmailOnly"
"Проверка покупки товара с коррекными пользовательскими данными","977","checkSuccessCheckout","Surefire suite","Mon Jun 16 16:53:39 GMT 2025","passed","Mon Jun 16 16:53:40 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkSuccessCheckout"
